empid,firstname,lastname,startdate,exitdate,title,supervisor,ademail,businessunit,employeeclassificationtype,terminationdescription,division,dob,state,jobfunctiondescription,gendercode,locationcode,racedesc,maritaldesc,current_employee_rating,department_type_id,performance_id,termination_type_id,employee_status_id,employee_type_id,payzone_name_id,age,department_id,department_name,employee_status_type,employee_type,payzone_id,payzone_name,performance_score,termination_type,age_range,performance_score_decoded,tenure,tenure_in_years
2644,Miranda,Keith,2020-07-19,2021-04-10,Area Sales Manager,Patrick Lopez,miranda.keith@bilearner.com,MSC,Part-Time,Within rise suggest war check happy whom.,Aerial,1999-01-23,TN,Lineman,Male,25859,Other,Single,5,18,2,3,3,3,3,26,18,Sales,Active,Full-Time,3,Zone C,Fully Meets,Involuntary,25s-30s,2,265,0.726027397260274
2646,Saniya,Ho,2019-08-04,2025-10-06,Area Sales Manager,Cathy Whitehead,saniya.ho@bilearner.com,PYZ,Part-Time,,Project Management - Con,2001-06-17,ID,Manager,Male,87653,Black,Widowed,1,18,2,1,3,2,2,24,18,Sales,Active,Contract,2,Zone A,Fully Meets,Unk,20s-25s,2,2255,6.178082191780822
2648,Nathaly,Stevens,2022-10-01,2025-10-06,Area Sales Manager,William Fernandez,nathaly.stevens@bilearner.com,NEL,Part-Time,,Fielders,1994-07-05,ID,Engineer,Male,92454,Other,Married,2,18,2,1,3,1,2,31,18,Sales,Active,Part-Time,2,Zone A,Fully Meets,Unk,30s-40s,2,1101,3.0164383561643837
3705,Marcos,Gallagher,2020-11-21,2023-04-09,Production Technician I,Bridget Little,marcos.gallagher@bilearner.com,BPC,Part-Time,Any after despite suddenly decade.,General - Sga,1967-05-27,MA,Vp,Female,88723,White,Single,3,13,4,3,3,3,2,58,13,Production       ,Active,Full-Time,2,Zone A,Exceeds,Involuntary,50s-60s,3,869,2.3808219178082193
2649,Maximus,Delgado,2020-09-28,2023-06-02,Area Sales Manager,Leslie Scott,maximus.delgado@bilearner.com,PL,Full-Time,Appear reality artist there understand.,Project Management - Con,1973-03-21,NY,Coordinator,Female,59871,White,Widowed,4,18,2,2,3,1,2,52,18,Sales,Active,Part-Time,2,Zone A,Fully Meets,Retirement,50s-60s,2,977,2.6767123287671235
2651,Demarcus,Frazier,2020-11-24,2025-10-06,Administrative Assistant,Steven Saunders,demarcus.frazier@bilearner.com,CCDR,Full-Time,,Project Management - Con,1992-03-02,WA,Coordinator,Female,30181,Hispanic,Divorced,2,18,2,1,3,2,3,33,18,Sales,Active,Contract,3,Zone C,Fully Meets,Unk,30s-40s,2,1777,4.868493150684931
2657,Trace,Brandt,2021-11-23,2022-07-20,Area Sales Manager,Jeffrey Hodge,trace.brandt@bilearner.com,BPC,Temporary,Decision decade approach.,Isp,1995-06-06,AZ,Manager,Male,27097,White,Widowed,2,18,2,5,3,2,1,30,18,Sales,Active,Contract,1,Zone B,Fully Meets,Voluntary,30s-40s,2,239,0.6547945205479452
2659,Bailey,Hays,2022-07-18,2025-10-06,Area Sales Manager,Jessica Gomez,bailey.hays@bilearner.com,SVG,Temporary,,General - Con,1990-07-13,AL,Administrative,Male,71519,Black,Single,2,18,2,1,3,1,1,35,18,Sales,Active,Part-Time,1,Zone B,Fully Meets,Unk,30s-40s,2,1176,3.221917808219178
2663,Eli,Grant,2023-01-06,2023-04-25,Area Sales Manager,Ryan Ward,eli.grant@bilearner.com,PYZ,Part-Time,Party employee page half young budget.,Splicing,1971-07-21,ID,Technician,Male,51278,Hispanic,Divorced,5,18,2,4,3,1,1,54,18,Sales,Active,Part-Time,1,Zone B,Fully Meets,Resignation,50s-60s,2,109,0.29863013698630136
2665,Abdiel,Good,2020-03-15,2025-10-06,Area Sales Manager,Jessica Harrison,abdiel.good@bilearner.com,NEL,Part-Time,,Splicing,1991-07-14,NY,Splicer,Male,33859,Hispanic,Married,4,18,2,1,3,2,2,34,18,Sales,Active,Contract,2,Zone A,Fully Meets,Unk,30s-40s,2,2031,5.564383561643836
2667,Marisol,Alvarez,2019-10-03,2021-08-25,Administrative Assistant,Joshua Brown,marisol.alvarez@bilearner.com,BPC,Part-Time,Environment state tax sound stop group doctor.,Billable Consultants,1965-10-08,WA,Engineer,Female,9760,Other,Widowed,2,18,2,2,3,3,1,59,18,Sales,Active,Full-Time,1,Zone B,Fully Meets,Retirement,50s-60s,2,692,1.895890410958904
3708,Case,Gaines,2020-08-21,2022-09-20,Production Technician I,Morgan Smith,case.gaines@bilearner.com,SVG,Part-Time,Finally feeling often some.,Fielders,1974-02-19,MA,Engineer,Male,13899,Black,Married,4,13,4,4,3,3,3,51,13,Production       ,Active,Full-Time,3,Zone C,Exceeds,Resignation,50s-60s,3,760,2.0821917808219177
3736,Carsen,Wheeler,2020-10-18,2023-03-22,Production Technician I,Kimberly Soto,carsen.wheeler@bilearner.com,SVG,Part-Time,Democrat home space past sense serious.,Wireline Construction,1976-07-02,MA,Laborer,Male,95345,Other,Married,2,13,2,4,3,3,2,49,13,Production       ,Active,Full-Time,2,Zone A,Fully Meets,Resignation,40s-50s,2,885,2.4246575342465753
3651,Jeremy,Meyer,2019-10-14,2025-10-06,Production Technician II,Chad Jones,jeremy.meyer@bilearner.com,WBL,Full-Time,,General - Con,1991-01-19,MA,Lineman,Female,90347,White,Single,3,13,2,1,3,3,3,34,13,Production       ,Active,Full-Time,3,Zone C,Fully Meets,Unk,30s-40s,2,2184,5.983561643835617
3655,Martha,Kemp,2023-02-25,2025-10-06,Production Technician I,Shelia Good,martha.kemp@bilearner.com,SVG,Full-Time,,Engineers,1998-10-20,MA,Engineer,Male,97142,Asian,Married,3,13,2,1,3,1,3,26,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,25s-30s,2,954,2.6136986301369864
3704,Addisyn,Aguilar,2019-01-25,2021-10-26,Production Technician I,April Stevens,addisyn.aguilar@bilearner.com,CCDR,Part-Time,Message firm social daughter third ready.,Field Operations,1976-02-05,MA,Associate,Female,20993,Asian,Married,5,13,4,3,3,3,3,49,13,Production       ,Active,Full-Time,3,Zone C,Exceeds,Involuntary,40s-50s,3,1005,2.7534246575342465
3706,Mareli,Parker,2019-09-23,2025-10-06,Production Technician I,Lisa Hamilton,mareli.parker@bilearner.com,WBL,Part-Time,,Field Operations,1974-11-08,MA,Laborer,Male,59933,White,Divorced,3,13,4,1,3,3,1,50,13,Production       ,Active,Full-Time,1,Zone B,Exceeds,Unk,50s-60s,3,2205,6.041095890410959
3707,Joshua,Mitchell,2022-12-11,2025-10-06,Production Technician I,Kenneth Keller,joshua.mitchell@bilearner.com,TNS,Temporary,,Engineers,1995-12-01,MA,Manager,Male,81280,Asian,Divorced,3,13,4,1,3,2,1,29,13,Production       ,Active,Contract,1,Zone B,Exceeds,Unk,25s-30s,3,1030,2.8219178082191783
3624,Cesar,Higgins,2020-01-09,2025-10-06,Production Technician II,Timothy Curtis,cesar.higgins@bilearner.com,MSC,Part-Time,,Technology / It,1996-02-04,MA,Engineer,Female,85711,Asian,Married,4,13,2,1,3,1,1,29,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Unk,25s-30s,2,2097,5.745205479452054
3697,Sonia,Skinner,2020-06-28,2025-10-06,Production Technician II,Connor Galloway,sonia.skinner@bilearner.com,PYZ,Part-Time,,Field Operations,1992-12-26,MA,Technician,Female,51256,Other,Single,4,13,1,1,3,3,2,32,13,Production       ,Active,Full-Time,2,Zone A,PIP,Unk,30s-40s,0,1926,5.276712328767124
3626,Raphael,Sandoval,2021-05-15,2025-10-06,Production Technician II,Natalie Baker,raphael.sandoval@bilearner.com,PYZ,Temporary,,Field Operations,1993-10-28,MA,Foreman,Female,61825,Asian,Single,2,13,2,1,3,3,1,31,13,Production       ,Active,Full-Time,1,Zone B,Fully Meets,Unk,30s-40s,2,1605,4.397260273972603
3656,Francesca,Mcmahon,2019-12-15,2025-10-06,Production Technician I,Darlene Green,francesca.mcmahon@bilearner.com,TNS,Part-Time,,Underground,2001-04-14,MA,Laborer,Male,72523,Hispanic,Divorced,5,13,4,1,3,1,1,24,13,Production       ,Active,Part-Time,1,Zone B,Exceeds,Unk,20s-25s,3,2122,5.813698630136987
3657,Lorelei,Walls,2021-08-29,2025-10-06,Production Technician I,Christine Mccarthy,lorelei.walls@bilearner.com,WBL,Full-Time,,General - Con,1992-03-04,MA,Flagger,Female,44406,Black,Single,4,13,2,1,3,1,3,33,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,30s-40s,2,1499,4.1068493150684935
3658,Emery,Gillespie,2022-11-04,2023-07-07,Production Technician I,Thomas Jackson,emery.gillespie@bilearner.com,BPC,Temporary,Once simple the decade.,Project Management - Con,1966-11-25,MA,Technician,Female,95682,Black,Divorced,3,13,2,3,3,1,3,58,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Involuntary,50s-60s,2,245,0.6712328767123288
2461,Tucker,Haas,2021-09-27,2025-10-06,Shared Services Manager,Billy Waters,tucker.haas@bilearner.com,EW,Full-Time,,Splicing,1979-06-05,MA,Splicer,Male,23555,Black,Divorced,5,14,2,1,3,1,2,46,14,Admin Offices,Active,Part-Time,2,Zone A,Fully Meets,Unk,40s-50s,2,1470,4.027397260273973
3978,Maryjane,Cross,2020-07-12,2025-10-06,Sr. Accountant,Mark Hines DDS,maryjane.cross@bilearner.com,PYZ,Part-Time,,General - Con,1980-04-26,MA,Laborer,Male,56453,Asian,Widowed,3,16,2,1,3,1,1,45,16,IT/IS,Active,Part-Time,1,Zone B,Fully Meets,Unk,40s-50s,2,1912,5.238356164383561
1535,Amari,Christian,2021-05-08,2025-10-06,Production Technician II,Mary Stokes,amari.christian@bilearner.com,SVG,Part-Time,,General - Con,2000-11-11,MA,Foreman,Female,30912,Black,Widowed,3,13,2,1,3,2,1,24,13,Production       ,Active,Contract,1,Zone B,Fully Meets,Unk,20s-25s,2,1612,4.416438356164384
1538,Aaron,Tapia,2023-01-20,2025-10-06,Production Technician II,Michael Reed,aaron.tapia@bilearner.com,TNS,Full-Time,,Splicing,2001-01-18,MA,Splicer,Male,27010,White,Widowed,3,13,2,1,3,2,1,24,13,Production       ,Active,Contract,1,Zone B,Fully Meets,Unk,20s-25s,2,990,2.712328767123288
3644,Madisyn,Andrews,2022-06-16,2025-10-06,Production Technician I,Thomas Jones,madisyn.andrews@bilearner.com,PYZ,Full-Time,,Field Operations,1986-06-24,MA,Laborer,Male,42213,Black,Married,3,13,2,1,3,1,1,39,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Unk,30s-40s,2,1208,3.3095890410958906
3645,Madyson,Rhodes,2019-07-22,2025-10-06,Production Technician I,Bridget Mills,madyson.rhodes@bilearner.com,WBL,Full-Time,,General - Con,1977-09-16,MA,Technician,Male,34428,Asian,Single,3,13,2,1,3,1,3,47,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,40s-50s,2,2268,6.213698630136986
3646,Brenton,Rodriguez,2023-04-22,2025-10-06,Production Technician II,Sara Bullock,brenton.rodriguez@bilearner.com,SVG,Full-Time,,Splicing,1968-01-01,MA,Splicer,Female,77551,Hispanic,Widowed,3,13,2,1,3,1,2,57,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Unk,50s-60s,2,898,2.4602739726027396
3649,Elisha,Ruiz,2022-08-13,2025-10-06,Production Technician II,Stephen Green,elisha.ruiz@bilearner.com,TNS,Part-Time,,Field Operations,1968-06-06,MA,Technician,Female,26602,White,Married,4,13,4,1,3,2,2,57,13,Production       ,Active,Contract,2,Zone A,Exceeds,Unk,50s-60s,3,1150,3.1506849315068495
1586,Eugene,Reyes,2022-01-15,2025-10-06,Production Technician I,Samuel Horton,eugene.reyes@bilearner.com,CCDR,Full-Time,,General - Con,1973-01-05,MA,Technician,Female,16737,Hispanic,Widowed,3,13,2,1,3,3,3,52,13,Production       ,Active,Full-Time,3,Zone C,Fully Meets,Unk,50s-60s,2,1360,3.7260273972602738
1587,Shamar,Guzman,2022-05-23,2025-10-06,Production Technician I,Brenda Butler,shamar.guzman@bilearner.com,SVG,Part-Time,,Splicing,1984-12-12,MA,Splicer,Male,12898,Other,Divorced,3,13,2,1,3,1,3,40,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,40s-50s,2,1232,3.3753424657534246
3797,Maria,Grant,2020-05-15,2025-10-06,Production Technician I,Connie Martinez,maria.grant@bilearner.com,EW,Full-Time,,Catv,1975-06-26,MA,Splicer,Female,32969,Black,Married,3,13,2,1,3,2,2,50,13,Production       ,Active,Contract,2,Zone A,Fully Meets,Unk,50s-60s,2,1970,5.397260273972603
1589,Travis,Morgan,2020-08-28,2022-08-25,Production Technician I,Monica Hubbard,travis.morgan@bilearner.com,MSC,Part-Time,Small together man show.,Field Operations,1996-07-02,MA,Technician,Female,22497,White,Married,3,13,2,3,3,2,2,29,13,Production       ,Active,Contract,2,Zone A,Fully Meets,Involuntary,25s-30s,2,727,1.9917808219178081
1590,Alessandro,Fuller,2021-09-09,2025-10-06,Production Technician I,Antonio Wilson,alessandro.fuller@bilearner.com,TNS,Full-Time,,Wireline Construction,1983-09-09,MA,Foreman,Male,30814,Black,Single,3,13,2,1,3,1,2,42,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Unk,40s-50s,2,1488,4.076712328767123
1620,Evie,Mclaughlin,2020-05-27,2025-10-06,Production Technician I,David Browning,evie.mclaughlin@bilearner.com,EW,Full-Time,,Executive,1967-03-04,MA,Executive Assistant,Male,70072,Asian,Single,3,13,3,1,3,2,2,58,13,Production       ,Active,Contract,2,Zone A,Needs Improvement,Unk,50s-60s,1,1958,5.364383561643836
3670,Sandra,Atkinson,2022-08-11,2023-03-27,Production Technician II,Walter Shaw,sandra.atkinson@bilearner.com,SVG,Full-Time,Far happy light already.,Billable Consultants,1969-01-17,MA,Engineer,Female,14006,Hispanic,Widowed,3,13,3,4,3,3,2,56,13,Production       ,Active,Full-Time,2,Zone A,Needs Improvement,Resignation,50s-60s,1,228,0.6246575342465753
3672,Rhett,Valenzuela,2019-01-14,2025-10-06,Production Technician II,Aaron Holland,rhett.valenzuela@bilearner.com,MSC,Full-Time,,General - Con,1991-02-24,MA,Foreman,Female,44501,Asian,Divorced,3,13,2,1,3,1,2,34,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Unk,30s-40s,2,2457,6.7315068493150685
3676,Leah,Robinson,2018-08-29,2025-10-06,Production Technician I,Craig Hawkins,leah.robinson@bilearner.com,BPC,Part-Time,,Yard (Material Handling),1993-11-29,MA,Associate,Male,35858,Black,Divorced,3,13,2,1,3,2,1,31,13,Production       ,Active,Contract,1,Zone B,Fully Meets,Unk,30s-40s,2,2595,7.109589041095891
3678,Ramon,Fleming,2021-07-22,2025-10-06,Production Technician I,Chad Ramirez,ramon.fleming@bilearner.com,SVG,Full-Time,,General - Eng,1999-05-24,MA,Drafter,Male,65321,Asian,Single,3,13,2,1,3,3,2,26,13,Production       ,Active,Full-Time,2,Zone A,Fully Meets,Unk,25s-30s,2,1537,4.210958904109589
3679,Pedro,Harrison,2019-12-14,2025-10-06,Production Technician I,Erica Moore,pedro.harrison@bilearner.com,EW,Full-Time,,Engineers,1989-07-16,MA,Engineer,Male,54017,Asian,Divorced,3,13,2,1,3,3,2,36,13,Production       ,Active,Full-Time,2,Zone A,Fully Meets,Unk,30s-40s,2,2123,5.816438356164384
3565,Kramer,Keatts,2021-09-11,2025-10-06,Production Technician I,Diana Good,kramer.keatts@bilearner.com,WBL,Full-Time,,General - Con,1968-05-10,MA,Lineman,Male,1887,Other,Divorced,4,13,2,1,3,1,1,57,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Unk,50s-60s,2,1486,4.071232876712329
3567,Nader,Barton,2023-03-04,2025-10-06,Production Technician I,Debra Garcia,nader.barton@bilearner.com,EW,Full-Time,,General - Sga,1966-09-02,MA,Technician,Male,2747,Asian,Widowed,4,13,2,1,3,3,3,59,13,Production       ,Active,Full-Time,3,Zone C,Fully Meets,Unk,50s-60s,2,947,2.5945205479452054
3569,Beatrice,Chace,2019-02-09,2020-08-28,Production Technician I,Margaret Hampton,beatrice.chace@bilearner.com,MSC,Temporary,Trial little must kitchen recently.,Catv,1995-07-19,MA,Supervisor,Female,2763,Hispanic,Divorced,2,13,2,3,3,1,1,30,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Involuntary,30s-40s,2,566,1.5506849315068494
2830,Leslie,Maynard,2022-06-30,2023-02-03,Production Technician I,Nathan Johnson,leslie.maynard@bilearner.com,NEL,Part-Time,Big author those five today.,General - Eng,1994-05-26,MA,Administrative,Male,62490,White,Married,1,13,2,4,3,3,1,31,13,Production       ,Active,Full-Time,1,Zone B,Fully Meets,Resignation,30s-40s,2,218,0.5972602739726027
2832,Lilyana,Huffman,2021-11-21,2025-10-06,Production Technician I,Felicia Gomez,lilyana.huffman@bilearner.com,BPC,Full-Time,,Field Operations,1975-01-03,MA,Laborer,Male,31155,White,Married,5,13,2,1,3,2,3,50,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,50s-60s,2,1415,3.8767123287671232
1196,Trevin,Summers,2019-03-09,2025-10-06,Production Technician I,John Lambert,trevin.summers@bilearner.com,PYZ,Temporary,,General - Eng,1978-11-07,MA,Administrator,Female,47386,Other,Married,3,13,2,1,3,1,3,46,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,40s-50s,2,2403,6.583561643835616
3004,Tiara,Velez,2019-08-29,2022-06-19,Production Technician II,Lisa Walters,tiara.velez@bilearner.com,EW,Full-Time,Most since article thousand.,General - Con,1996-01-24,MA,Laborer,Female,77466,Asian,Divorced,5,13,2,2,3,3,1,29,13,Production       ,Active,Full-Time,1,Zone B,Fully Meets,Retirement,25s-30s,2,1025,2.808219178082192
3222,Gloria,Small,2021-01-11,2025-10-06,Production Technician I,Andrea Welch,gloria.small@bilearner.com,BPC,Part-Time,,Shop (Fleet),1990-08-14,MA,Manager,Female,28908,Hispanic,Married,2,13,2,1,3,2,2,35,13,Production       ,Active,Contract,2,Zone A,Fully Meets,Unk,30s-40s,2,1729,4.736986301369863
